
--- [START 2017-12-01 02:23:34] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 123456
	PROJECT_PATH = ./project
	out_dir      = ../

** net setting **
<class 'net.inception_v3.Inception3'>


** dataset setting **
	len(train_dataset)  = 12118359
	len(valid_dataset)  = 252934
	len(train_loader)   = 94674
	len(valid_loadernum_iters)   = 1977
	batch_size  = 128
	iter_accum  = 4
	batch_size*iter_accum  = 512
	loading @ initial_checkpoint = ../checkpoint/best_train_model.pth
=> loaded checkpoint '../checkpoint/best_train_model.pth' (epoch: 2.996899977959062, iter: 75400.0, best_train_acc: 0.7026953125, best_valid_acc: 0.6677215189873418)** start training here! **
	optimizer=<torch.optim.sgd.SGD object at 0x7efe723dac50>
   rate   iter   epoch  | valid_loss/acc | train_loss/acc | batch_loss/acc | total time | avg iter time | i j |
----------------------------------------------------------------------------------------------------------------
0.0000   75.4 k   3.00  | 0.0000  0.0000 | 0.0000  0.0000 | 0.0000  0.0000 |     0 min |  0.00 s | 75400,0 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.3113  0.7027 | 1.0866  0.7188 |     1 min |  1.16 s | 75405,20 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.2718  0.7047 | 1.0081  0.7109 |     1 min |  1.14 s | 75410,40 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.2861  0.7048 | 1.2904  0.7344 |     2 min |  1.14 s | 75415,60 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.2890  0.7078 | 1.3121  0.7188 |     3 min |  1.13 s | 75420,80 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.2948  0.7063 | 1.3091  0.7344 |     3 min |  1.13 s | 75425,100 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.3051  0.7052 | 1.7948  0.5781 |     4 min |  1.13 s | 75430,120 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.3108  0.7047 | 1.6348  0.6406 |     4 min |  1.13 s | 75435,140 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.3119  0.7048 | 1.2543  0.7734 |     5 min |  1.13 s | 75440,160 
0.0010   75.4 k   3.00  | 0.0000  0.0000 | 1.3201  0.7032 | 1.1231  0.7109 |     6 min |  1.13 s | 75445,180 
0.0010   75.5 k   3.00  | 0.0000  0.0000 | 1.3208  0.7032 | 1.4783  0.6562 |     6 min |  1.13 s | 75450,200 
=> Best train model updated: iter 75450, train acc 0.703008
0.0010   75.5 k   3.00  | 0.0000  0.0000 | 1.3690  0.6941 | 1.7417  0.6641 |     7 min |  1.13 s | 75455,220 
0.0010   75.5 k   3.00  | 0.0000  0.0000 | 1.3641  0.6941 | 1.4749  0.6562 |     8 min |  1.13 s | 75460,240 
0.0010   75.5 k   3.00  | 0.0000  0.0000 | 1.3704  0.6919 | 1.3128  0.7266 |     8 min |  1.13 s | 75465,260 
0.0010   75.5 k   3.00  | 0.0000  0.0000 | 1.3702  0.6904 | 1.5383  0.6641 |     9 min |  1.13 s | 75470,280 
0.0001   75.5 k   3.00  | 0.0000  0.0000 | 1.3719  0.6918 | 1.5145  0.6406 |     9 min |  1.13 s | 75475,300 
